time,Lead_I,Lead_II
0.0,-0.0238,0.0092
0.004,-0.0017,-0.0077
0.008,0.0076,0.0285
0.012,-0.0163,0.0053
0.016,-0.0061,-0.0031
0.02,-0.0107,0.0031
0.024,0.0043,0.0051
0.028,-0.0103,0.0101
0.032,0.0022,0.0149
0.036,-0.0089,-0.0135
0.04,0.0014,0.0163
0.044,-0.002,-0.0071
0.048,-0.0041,0.0049
0.052,0.0006,0.0033
0.056,-0.0045,-0.0041
0.06,0.0009,-0.0244
0.064,-0.0012,-0.0049
0.068,-0.0166,-0.0071
0.072,0.0119,0.0026
0.076,-0.0037,-0.0106
0.08,0.0041,0.0118
0.084,0.0022,0.0133
0.088,-0.009,-0.0049
0.092,-0.0129,0.0012
0.096,-0.0033,0.0076
0.1,0.0043,0.0095
0.104,0.0031,0.0032
0.108,0.0067,0.0124
0.112,-0.0048,0.0187
0.116,0.0235,0.0075
0.12,0.009,-0.0003
0.124,0.0018,-0.0036
0.128,0.002,0.0073
0.132,0.0052,-0.0085
0.136,0.0044,-0.0088
0.14,0.0119,0.008
0.144,-0.0013,0.0044
0.148,-0.0068,0.0049
0.152,-0.0144,0.0063
0.156,0.0067,-0.0098
0.16,-0.0228,-0.0116
0.164,0.0041,-0.0005
0.168,0.0056,-0.0175
0.172,0.0048,-0.0086
0.176,0.0155,-0.0111
0.18,-0.0067,-0.0064
0.184,-0.011,0.0072
0.188,0.0154,0.0072
0.192,0.0102,-0.0028
0.196,0.0147,0.0136
0.2,0.0319,0.0174
0.204,0.0269,0.0193
0.208,0.0347,0.0266
0.212,0.0461,0.0231
0.216,0.0568,0.0462
0.22,0.1026,0.0741
0.224,0.1169,0.0659
0.228,0.1195,0.0908
0.232,0.1345,0.0753
0.236,0.1368,0.1066
0.24,0.162,0.1062
0.244,0.142,0.1181
0.248,0.1558,0.1041
0.252,0.1201,0.109
0.256,0.1128,0.0471
0.26,0.0802,0.0495
0.264,0.0686,0.0564
0.268,0.0628,0.033
0.272,0.0309,0.0275
0.276,0.0454,0.0172
0.28,0.0188,0.0243
0.284,0.0202,0.0235
0.288,0.0303,0.005
0.292,0.0048,0.0084
0.296,0.0001,0.0191
0.3,0.0101,-0.0153
0.304,0.0098,0.0133
0.308,-0.0127,-0.0061
0.312,0.0075,-0.002
0.316,0.01,0.0254
0.32,0.0087,-0.0077
0.324,0.0199,-0.0141
0.328,0.0013,0.0013
0.332,0.0099,0.0219
0.336,0.0079,-0.0012
0.34,0.0155,-0.0106
0.344,0.0141,-0.0094
0.348,0.0053,0.003
0.352,-0.0051,-0.004
0.356,0.0096,-0.0156
0.36,0.0022,0.0023
0.364,-0.012,-0.0046
0.368,-0.0554,-0.035
0.372,-0.1073,-0.0503
0.376,-0.114,-0.0894
0.38,-0.1055,-0.0692
0.384,0.0216,0.0087
0.388,0.2303,0.1532
0.392,0.5586,0.4073
0.396,0.8423,0.592
0.4,0.9928,0.6753
0.404,0.8578,0.5966
0.408,0.5053,0.3589
0.412,0.1778,0.1108
0.416,-0.0655,-0.0586
0.42,-0.2006,-0.1554
0.424,-0.2113,-0.1445
0.428,-0.1348,-0.0986
0.432,-0.0925,-0.0515
0.436,-0.0317,-0.0278
0.44,-0.0049,0.002
0.444,-0.008,-0.0134
0.448,0.0116,-0.0125
